SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,16-03402124,05/17/2016,,,,,,,,2754,W,85TH,PL,60652,1159515.3000752,1847975.1086799,18,8,70,41.73855669229053,-87.6911551982939,"(41.73855669229053, -87.6911551982939)"
Vacant/Abandoned Building,16-03406396,05/17/2016,,,,,,,,6600,W,64TH,ST,60638,1133522.46921407,1861359.43847141,23,8,64,41.77577874683948,-87.78607733874072,"(41.77577874683948, -87.78607733874072)"
Vacant/Abandoned Building,16-03407005,05/17/2016,,,,,,,,8020,S,TALMAN,AVE,60652,1160107.00169714,1851275.5301248,18,8,70,41.74760143233221,-87.68889675904144,"(41.74760143233221, -87.68889675904144)"
Vacant/Abandoned Building,16-03391343,05/17/2016,Front,,Boarded,NONE,Vacant,false,false,7755,S,ALBANY,AVE,60652,1157057.84993347,1853011.32116922,18,8,70,41.75242684506293,-87.70002304435405,"(41.75242684506293, -87.70002304435405)"
Vacant/Abandoned Building,16-03396996,05/17/2016,,,,,,,,798,W,96TH,ST,60628,1172673.07489647,1841186.18068461,21,22,73,41.71964739238096,-87.64314734926184,"(41.71964739238096, -87.64314734926184)"
Vacant/Abandoned Building,16-03397375,05/17/2016,Front,,Open,SIDE AND REAR,Vacant,false,false,8840,S,UNION,AVE,60620,1173186.73237065,1846280.33730976,21,22,71,41.73361514944923,-87.64111593290046,"(41.73361514944923, -87.64111593290046)"
Vacant/Abandoned Building,16-03402129,05/17/2016,,,,,,,,4904,W,VAN BUREN,ST,60644,1143841.0281202,1897565.29262471,29,15,25,41.8749465711999,-87.7473444616238,"(41.8749465711999, -87.7473444616238)"
Vacant/Abandoned Building,16-03413400,05/17/2016,Front,,Open,REAR,Vacant,true,false,4411,W,MAYPOLE,AVE,60624,1146895.72108311,1901089.52513106,28,11,26,41.88455970047851,-87.73603872054379,"(41.88455970047851, -87.73603872054379)"
Vacant/Abandoned Building,16-03413448,05/17/2016,Front,,Open,FRONT AND REAR,Vacant,false,false,214,N,KOSTNER,AVE,60624,1147024.4111114,1900768.30897495,28,11,26,41.88367578776426,-87.73557436471913,"(41.88367578776426, -87.73557436471913)"
Vacant/Abandoned Building,16-03396705,05/17/2016,Front,,Open,,Vacant,false,false,2264,W,111TH,PL,60643,1163218.1018229,1830615.66032988,19,22,75,41.690842876702916,-87.67807288430619,"(41.690842876702916, -87.67807288430619)"
Vacant/Abandoned Building,16-03397593,05/17/2016,,,,,,,,6346,S,LECLAIRE,AVE,60638,1143613.26030915,1861932.31527936,13,8,64,41.77716865207646,-87.74907046257105,"(41.77716865207646, -87.74907046257105)"
Vacant/Abandoned Building,16-03399263,05/17/2016,,,,,,,,6219,S,MENARD,AVE,60638,1138808.60017424,1862728.00061331,13,8,64,41.77944038402975,-87.76666540155031,"(41.77944038402975, -87.76666540155031)"
Vacant/Abandoned Building,16-03405258,05/17/2016,,,,,,,,5046,W,CHICAGO,AVE,60651,1142465.17006797,1904847.08552647,37,15,25,41.894954364979874,-87.75221505873255,"(41.894954364979874, -87.75221505873255)"
Vacant/Abandoned Building,16-03401647,05/17/2016,,,,,,,,2942,W,WILCOX,ST,60612,1156794.68193432,1899212.74282363,27,11,27,41.87921481066706,-87.69973907831759,"(41.87921481066706, -87.69973907831759)"
Vacant/Abandoned Building,16-03406944,05/17/2016,,,,,,,,9530,S,ESCANABA,AVE,60617,1197046.9740052,1842317.05872463,10,4,51,41.72217973659255,-87.55383675728305,"(41.72217973659255, -87.55383675728305)"
Vacant/Abandoned Building,16-03421998,05/18/2016,Front,,Boarded,,Vacant,false,false,313,W,52ND,ST,60609,1175128.96592631,1870484.68977303,3,9,37,41.799991593135076,-87.63327887525361,"(41.799991593135076, -87.63327887525361)"
Vacant/Abandoned Building,16-03422351,05/18/2016,Front,,Open,,Vacant,true,false,3338,N,MARSHFIELD,AVE,60657,1164729.52970854,1922222.80826734,47,19,6,41.94219153324167,-87.66995023221354,"(41.94219153324167, -87.66995023221354)"
Vacant/Abandoned Building,16-03424919,05/18/2016,Front,,Open,,Vacant,true,false,5722,S,PEORIA,ST,60621,1171284.45496619,1866895.29470977,16,7,68,41.790226954666004,-87.64748277305884,"(41.790226954666004, -87.64748277305884)"
Vacant/Abandoned Building,16-03426908,05/18/2016,,,,,,,,10801,S,WENTWORTH,AVE,60628,1176862.28287317,1833317.58779423,34,5,49,41.697961691143355,-87.62803961576559,"(41.697961691143355, -87.62803961576559)"
Vacant/Abandoned Building,16-03432377,05/18/2016,Rear,,Open,REAR,Vacant,false,false,255,W,117TH,ST,60628,1176597.80340637,1827352.70198779,34,5,53,41.68159909288638,-87.62918652419512,"(41.68159909288638, -87.62918652419512)"
Vacant/Abandoned Building,16-03429687,05/18/2016,Front,,Open,,Vacant,false,false,13055,S,SAGINAW,AVE,60633,1196230.09602602,1818985.25030375,10,4,55,41.6581750726689,-87.55759839747964,"(41.6581750726689, -87.55759839747964)"
Vacant/Abandoned Building,16-03445587,05/18/2016,Front,,Open,FRONT & REAR,Vacant,false,false,610,E,104TH,ST,60628,1182157.79911748,1836131.91101736,9,5,49,41.705563930334904,-87.60856363263235,"(41.705563930334904, -87.60856363263235)"
Vacant/Abandoned Building,16-03426761,05/18/2016,Front,,Open,,Vacant,false,true,301,E,107TH,ST,60628,1180153.41257212,1834079.48470494,9,5,49,41.699977852571536,-87.61596606161987,"(41.699977852571536, -87.61596606161987)"
Vacant/Abandoned Building,16-03428591,05/18/2016,Front,,Open,,Vacant,false,false,2227,W,BELDEN,AVE,60647,1161127.80290829,1915357.82008953,32,14,22,41.9234292933816,-87.68337943963317,"(41.9234292933816, -87.68337943963317)"
Vacant/Abandoned Building,16-03435194,05/18/2016,Front,,Open,FRONT & REAR,Vacant,false,true,11115,S,EGGLESTON,AVE,60628,1175270.29016909,1831198.46557575,34,22,49,41.692182129302154,-87.6339316432056,"(41.692182129302154, -87.6339316432056)"
Vacant/Abandoned Building,16-03429364,05/18/2016,Front,,Open,,Vacant,false,false,12600,S,STATE,ST,60628,1178575.17922816,1821123.15997292,9,5,53,41.66445969922908,-87.62213648674656,"(41.66445969922908, -87.62213648674656)"
Vacant/Abandoned Building,16-03437355,05/18/2016,Front,,Open,,Vacant,false,false,9146,S,DREXEL,AVE,60619,1184155.88713061,1844434.33987242,8,4,47,41.72830040782376,-87.60098828317093,"(41.72830040782376, -87.60098828317093)"
Vacant/Abandoned Building,16-03437360,05/18/2016,Front,,Open,,Vacant,false,false,9157,S,UNIVERSITY,AVE,60619,1185477.68942767,1844491.81511343,8,4,47,41.728427164093254,-87.59614450941615,"(41.728427164093254, -87.59614450941615)"
Vacant/Abandoned Building,16-03440027,05/18/2016,Front,,Open,REAR DOOR,Vacant,false,true,9324,S,CREGIER,AVE,60617,1189809.22373211,1843502.88808875,8,4,48,41.72561055479104,-87.58030912045865,"(41.72561055479104, -87.58030912045865)"
Vacant/Abandoned Building,16-03430238,05/18/2016,,,,,,,,9101,S,DOBSON,AVE,60619,1184806.58357669,1844849.14701453,8,4,47,41.72942346862293,-87.59859170789656,"(41.72942346862293, -87.59859170789656)"
Vacant/Abandoned Building,16-03437515,05/18/2016,Rear,,Open,FRONT,Vacant,false,false,9159,S,UNIVERSITY,AVE,60619,1185478.08942767,1844478.41511343,8,4,47,41.72839038360616,-87.59614346454369,"(41.72839038360616, -87.59614346454369)"
Vacant/Abandoned Building,16-03437518,05/18/2016,Rear,,Open,FRONT,Vacant,false,false,9155,S,UNIVERSITY,AVE,60619,1185477.38942767,1844505.21511343,8,4,47,41.72846394222995,-87.59614518797288,"(41.72846394222995, -87.59614518797288)"
Vacant/Abandoned Building,16-03425402,05/18/2016,Front,,Open,FRONT AND BACK DOORS,Vacant,false,true,5248,N,OLCOTT,AVE,60656,1125345.65836676,1933991.88217623,41,16,10,41.97523235152141,-87.81444386177238,"(41.97523235152141, -87.81444386177238)"
Vacant/Abandoned Building,16-03436881,05/18/2016,Front,,Open,,Vacant,false,false,3555,W,WRIGHTWOOD,AVE,60647,1152153.94473258,1917053.72146792,35,14,22,41.928264901768976,-87.71630797786025,"(41.928264901768976, -87.71630797786025)"
Vacant/Abandoned Building,16-03426905,05/18/2016,,,,,,,,1859,E,81ST,ST,60617,1189962.86906599,1851624.07069102,8,4,46,41.74789217483524,-87.57948574832194,"(41.74789217483524, -87.57948574832194)"
Vacant/Abandoned Building,16-03428904,05/18/2016,Rear,,Open,REAR DOOR,Vacant,false,true,8206,S,SAGINAW,AVE,60617,1195265.07588989,1851072.80427756,7,4,46,41.74625034006281,-87.56007531875363,"(41.74625034006281, -87.56007531875363)"
Vacant/Abandoned Building,16-03432594,05/18/2016,Front,,Open,,Vacant,false,false,6538,S,WOLCOTT,AVE,60636,1164809.9739154,1861310.52782272,15,7,67,41.77504091507714,-87.67138062015556,"(41.77504091507714, -87.67138062015556)"
Vacant/Abandoned Building,16-03432430,05/18/2016,Front,,Open,,Vacant,false,false,5545,S,WOLCOTT,AVE,60636,1164635.5800125,1867823.44801911,15,7,67,41.79291688806206,-87.67183624559212,"(41.79291688806206, -87.67183624559212)"
Vacant/Abandoned Building,16-03438325,05/18/2016,Front,,Open,,Vacant,false,false,6611,S,RHODES,AVE,60637,1181037.99369864,1861298.87010717,20,3,42,41.77465075380076,-87.61189163296417,"(41.77465075380076, -87.61189163296417)"
Vacant/Abandoned Building,16-03438865,05/18/2016,Rear,,Boarded,,Vacant,false,true,5643,S,WOLCOTT,AVE,60636,1164650.87751033,1867246.33899417,15,7,67,41.791332905905804,-87.67179643532229,"(41.791332905905804, -87.67179643532229)"
Vacant/Abandoned Building,16-03427340,05/18/2016,Front,,Open,PARTIALLY BOARDED,Vacant,false,false,6741,S,RACINE,AVE,60636,1169481.8093812,1860085.66891947,16,7,68,41.77157979478461,-87.65428975561757,"(41.77157979478461, -87.65428975561757)"
Vacant/Abandoned Building,16-03434102,05/18/2016,Rear,,Open,,Vacant,false,false,545,W,61ST,PL,60621,1173529.19781109,1864130.65087797,20,7,68,41.782591035846835,-87.63933376116572,"(41.782591035846835, -87.63933376116572)"
Vacant/Abandoned Building,16-03430384,05/18/2016,Rear,,Open,,Vacant,false,true,6548,S,EMERALD,AVE,60621,1172363.00003004,1861374.40998302,20,7,68,41.77505334275253,-87.64369041286878,"(41.77505334275253, -87.64369041286878)"
Vacant/Abandoned Building,16-03432642,05/18/2016,Garage,,Open,FRONT AND BACK,Vacant,false,true,4051,W,POTOMAC,AVE,60651,1149136.87790159,1908352.50698647,37,25,23,41.90444698788871,-87.72762052688593,"(41.90444698788871, -87.72762052688593)"
Vacant/Abandoned Building,16-03423608,05/18/2016,Garage,,Open,REAR,Vacant,false,false,5716,S,TROY,ST,60629,1156358.84503072,1866524.21349631,14,8,63,41.789522358651325,-87.70222125099956,"(41.789522358651325, -87.70222125099956)"
Vacant/Abandoned Building,16-03432988,05/18/2016,Front,,Open,FRONT AND REAR,Vacant,false,false,8218,S,THROOP,ST,60620,1169089.85239577,1850276.1710917,21,6,71,41.744669720308906,-87.65600965155748,"(41.744669720308906, -87.65600965155748)"
Vacant/Abandoned Building,16-03438230,05/18/2016,Front,,Open,,Vacant,false,false,8808,S,LONGWOOD,DR,60643,1164199.72013292,1846261.09006792,19,22,72,41.733755960071896,-87.67404050775235,"(41.733755960071896, -87.67404050775235)"
Vacant/Abandoned Building,16-03454269,05/19/2016,Front,,Boarded,,Vacant,false,true,5033,S,CICERO,AVE,60632,1145211.12771421,1870829.5405324,14,8,56,41.80155415224955,-87.74298864033324,"(41.80155415224955, -87.74298864033324)"
Vacant/Abandoned Building,16-03458302,05/19/2016,Front,,Open,FRONT,Vacant,true,false,1016,W,59TH,ST,60621,1170654.46168025,1865698.37441354,16,7,68,41.7869562369369,-87.6498276741365,"(41.7869562369369, -87.6498276741365)"
Vacant/Abandoned Building,16-03455124,05/19/2016,Front,,Open,,Vacant,false,false,6612,S,HERMITAGE,AVE,60636,1165807.54739116,1860846.11712482,15,7,67,41.77374538219095,-87.66773681959864,"(41.77374538219095, -87.66773681959864)"
Vacant/Abandoned Building,16-03474812,05/19/2016,Front,,Open,FRONT,Vacant,false,true,3753,N,GREENVIEW,AVE,60613,1165644.03992416,1925012.64260528,44,19,6,41.949827502692905,-87.66650924217207,"(41.949827502692905, -87.66650924217207)"
Vacant/Abandoned Building,16-03454273,05/19/2016,Front,,Open,FRONT,Vacant,false,false,12045,S,PERRY,AVE,60628,1177767.69980536,1824904.04481063,9,5,53,41.67485328640784,-87.62497777204374,"(41.67485328640784, -87.62497777204374)"
Vacant/Abandoned Building,16-03454298,05/19/2016,Front,,Open,FRONT,Vacant,false,false,12047,S,PERRY,AVE,60628,1177768.49980536,1824882.74481063,9,5,53,41.67479481787916,-87.62497548482249,"(41.67479481787916, -87.62497548482249)"
Vacant/Abandoned Building,16-03456475,05/19/2016,Rear,,Open,,Vacant,false,false,7604,S,WABASH,AVE,60619,1178032.88760896,1854612.06662687,6,6,69,41.756370083194206,-87.62311018875887,"(41.756370083194206, -87.62311018875887)"
Vacant/Abandoned Building,16-03460417,05/19/2016,Front,,Open,FRONT DOOR REAR DOOR,Vacant,false,false,9238,S,WOODLAWN,AVE,60619,1185821.85189286,1843964.21201467,8,4,47,41.726971267639186,-87.59490036607306,"(41.726971267639186, -87.59490036607306)"
Vacant/Abandoned Building,16-03461534,05/19/2016,Front,,Open,"FRONT, REAR, SIDE",Vacant,false,true,6948,S,CARPENTER,ST,60621,1170513.03653253,1858740.73928437,6,7,68,41.767866736996844,-87.6505487632547,"(41.767866736996844, -87.6505487632547)"
Vacant/Abandoned Building,16-03470661,05/19/2016,Front,,Open,ALL,Vacant,false,false,4020,N,MEADE,AVE,60634,1134971.25788988,1926095.62830571,38,16,15,41.95339881853336,-87.7792343539786,"(41.95339881853336, -87.7792343539786)"
Vacant/Abandoned Building,16-03451939,05/19/2016,Front,,Boarded,NONE,Vacant,false,false,8939,S,EUCLID,AVE,60617,1190736.69477513,1846084.76727528,8,4,48,41.732673171512765,-87.57682868444428,"(41.732673171512765, -87.57682868444428)"
Vacant/Abandoned Building,16-03467405,05/19/2016,Front,,Open,ALL AROUNCD,Vacant,false,false,6316,S,WINCHESTER,AVE,60636,1164441.8958865,1862766.27040974,15,7,67,41.779043432231504,-87.67268895099978,"(41.779043432231504, -87.67268895099978)"
Vacant/Abandoned Building,16-03460579,05/19/2016,Front,,Open,FRONT,Vacant,false,false,1649,E,86TH,ST,60617,1188751.27380621,1848283.78352366,8,4,45,41.73875514846236,-87.584031925846,"(41.73875514846236, -87.584031925846)"
Vacant/Abandoned Building,16-03461467,05/19/2016,,,Open,WINDOW,Vacant,false,false,8130,S,DREXEL,AVE,60619,1183647.57216854,1851280.57970146,8,6,44,41.747099099220016,-87.60263739227669,"(41.747099099220016, -87.60263739227669)"
Vacant/Abandoned Building,16-03462386,05/19/2016,Rear,,Open,ALL AROUND,Vacant,false,false,8521,S,DANTE,AVE,60619,1187353.78109348,1848770.44006725,8,4,45,41.74012385873049,-87.5891365626749,"(41.74012385873049, -87.5891365626749)"
Vacant/Abandoned Building,16-03470656,05/19/2016,Front,,Open,ALL,Vacant,false,false,8026,S,BURNHAM,AVE,60617,1196231.82170728,1852290.21702105,7,4,46,41.74956711932317,-87.55649274850852,"(41.74956711932317, -87.55649274850852)"
Vacant/Abandoned Building,16-03468557,05/19/2016,Front,,Boarded,N/A,Vacant,false,false,9814,S,CLYDE,AVE,60617,1192035.99202539,1840401.78781902,7,4,51,41.71704708465635,-87.57225292355562,"(41.71704708465635, -87.57225292355562)"
Vacant/Abandoned Building,16-03458391,05/19/2016,Front,,Open,FRONT,Vacant,true,false,7138,S,ASHLAND,AVE,,1166921.99342248,1857273.64008435,17,7,67,41.763918294740634,-87.66375344002805,"(41.763918294740634, -87.66375344002805)"
Vacant/Abandoned Building,16-03463419,05/19/2016,Front,,Open,ALL,Vacant,false,false,7324,S,LAFLIN,ST,60636,1167386.58832079,1856064.54537902,17,7,67,41.76059044053116,-87.66208517234205,"(41.76059044053116, -87.66208517234205)"
Vacant/Abandoned Building,16-03459971,05/19/2016,Front,,Open,FRONT,Vacant,false,false,2512,W,LITHUANIAN PLAZA,CT,60629,1160769.36496585,1858819.22860681,17,8,66,41.768288826880564,-87.68626172788564,"(41.768288826880564, -87.68626172788564)"
Vacant/Abandoned Building,16-03451804,05/19/2016,,,,,,,,7838,S,SEELEY,AVE,60620,1164056.77151135,1852668.04668522,18,6,71,41.75134061345585,-87.67438446869633,"(41.75134061345585, -87.67438446869633)"
Vacant/Abandoned Building,16-03454754,05/19/2016,Front,,Open,,Vacant,false,true,6011,S,MARSHFIELD,AVE,60636,1166369.99037872,1864846.58640976,15,7,67,41.784711216205544,-87.66556113746806,"(41.784711216205544, -87.66556113746806)"
Vacant/Abandoned Building,16-03465408,05/19/2016,,,,,,,,2725,W,WARREN,BLVD,60612,1158203.48009569,1900241.91360414,27,12,27,41.88201029672983,-87.69453806982146,"(41.88201029672983, -87.69453806982146)"
Vacant/Abandoned Building,16-03449811,05/19/2016,Front,,Boarded,NOT BEING MAINTAINED,Vacant,false,false,5744,W,SUPERIOR,ST,60644,1137928.29560773,1904420.74970321,29,15,25,41.89386755922609,-87.76888833422997,"(41.89386755922609, -87.76888833422997)"
Vacant/Abandoned Building,16-03469952,05/19/2016,Front,,Boarded,FRONT DOOR REMOVED,Vacant,false,true,1305,E,75TH,ST,60619,1186232.19271973,1855531.2278059,5,4,43,41.75870267174779,-87.5930327416485,"(41.75870267174779, -87.5930327416485)"
Vacant/Abandoned Building,16-03458263,05/19/2016,Front,,Open,FRONT,Vacant,true,false,156,W,103RD,PL,60628,1177062.51640192,1836322.99781147,34,5,49,41.70620446219738,-87.62721624431511,"(41.70620446219738, -87.62721624431511)"
Vacant/Abandoned Building,16-03459101,05/19/2016,Front,,Open,CHECK ALL AROUND,Vacant,false,true,6650,S,MARQUETTE,RD,60637,1180709.01097214,1861361.77491294,20,3,42,41.774830937714974,-87.61309568874486,"(41.774830937714974, -87.61309568874486)"
Vacant/Abandoned Building,16-03454546,05/19/2016,Front,,Open,,Vacant,false,false,5230,S,CAMPBELL,AVE,60632,1160589.30839087,1869913.24199651,14,9,63,41.79873603533031,-87.68661587150369,"(41.79873603533031, -87.68661587150369)"
Vacant/Abandoned Building,16-03455871,05/19/2016,Rear,,Open,,Vacant,false,false,5416,S,KILBOURN,AVE,60632,1147283.783271,1868259.83008674,23,8,62,41.794463152491566,-87.73545286601981,"(41.794463152491566, -87.73545286601981)"
Vacant/Abandoned Building,16-03472278,05/19/2016,Front,,Open,,Vacant,false,true,902,W,86TH,PL,60620,1171754.65676823,1847482.05763331,21,6,71,41.73694432165769,-87.64632719619118,"(41.73694432165769, -87.64632719619118)"
Vacant/Abandoned Building,16-03455850,05/19/2016,Rear,,Open,,Vacant,false,true,8743,S,UNION,AVE,60620,1173170.54709558,1846860.0108176,21,22,71,41.73520620901191,-87.64115814873337,"(41.73520620901191, -87.64115814873337)"
Vacant/Abandoned Building,16-03458478,05/19/2016,Front,,Open,FRONT,Vacant,true,false,11761,S,HALSTED,ST,60628,1173105.25488225,1826811.29460742,34,5,53,41.68019100295117,-87.64198704359846,"(41.68019100295117, -87.64198704359846)"
Vacant/Abandoned Building,16-03461554,05/19/2016,Front,,Open,FRONT AND BACK,Vacant,false,false,9238,S,WOODLAWN,AVE,,1185821.85189286,1843964.21201467,8,4,47,41.726971267639186,-87.59490036607306,"(41.726971267639186, -87.59490036607306)"
Vacant/Abandoned Building,16-03448674,05/19/2016,Front,,Open,FRONT AND REAR,Vacant,true,false,1331,W,99TH,ST,60643,1169205.47760072,1839119.18318949,34,22,73,41.714050820591254,-87.65590772107817,"(41.714050820591254, -87.65590772107817)"
Vacant/Abandoned Building,16-03486204,05/20/2016,Front,,Open,,Vacant,false,false,6412,S,PAULINA,ST,60636,1166099.12708835,1862143.36293263,15,7,67,41.777298995573915,-87.66663108099134,"(41.777298995573915, -87.66663108099134)"
Vacant/Abandoned Building,16-03491176,05/20/2016,Front,,Open,FRONT DOOR,Vacant,false,true,1021,W,69TH,ST,60621,1170611.03653253,1859064.63928437,6,7,68,41.76875342337021,-87.6501801192819,"(41.76875342337021, -87.6501801192819)"
Vacant/Abandoned Building,16-03498673,05/20/2016,Front,,Boarded,,Vacant,false,false,2963,N,RIDGEWAY,AVE,60618,1151201.14932514,1919549.90051312,30,25,21,41.93513338675368,-87.7197435388011,"(41.93513338675368, -87.7197435388011)"
Vacant/Abandoned Building,16-03484026,05/20/2016,Front,,Open,FRONT-WINDOWS,Vacant,false,false,10555,S,EDBROOKE,AVE,60628,1179137.99110852,1834971.41663374,9,5,49,41.702448586455304,-87.61965703228066,"(41.702448586455304, -87.61965703228066)"
Vacant/Abandoned Building,16-03487045,05/20/2016,Front,,Open,,Vacant,false,false,7725,S,MICHIGAN,AVE,60619,1178491.80073388,1853821.206805,6,6,69,41.75418946555482,-87.62145235870874,"(41.75418946555482, -87.62145235870874)"
Vacant/Abandoned Building,16-03492730,05/20/2016,Front,,Open,,Vacant,false,false,10359,S,AVENUE J,,60617,1202491.71802738,1836881.89240674,10,4,52,41.70712820186361,-87.53407876494771,"(41.70712820186361, -87.53407876494771)"
Vacant/Abandoned Building,16-03476784,05/20/2016,Front,,Open,,Vacant,true,false,6509,S,PAULINA,ST,60636,1166116.35052713,1861537.07401113,15,7,67,41.775634893929706,-87.66658517255249,"(41.775634893929706, -87.66658517255249)"
Vacant/Abandoned Building,16-03487602,05/20/2016,,,,,,,,7440,S,SOUTH CHICAGO,AVE,60619,1185181.53999176,1855855.72998993,5,3,69,41.75961788328557,-87.59687308171625,"(41.75961788328557, -87.59687308171625)"
Vacant/Abandoned Building,16-03476337,05/20/2016,Rear,,Open,REAR,Vacant,false,true,5356,S,MARSHFIELD,AVE,60609,1166252.4039838,1869189.12922244,16,9,61,41.79663018928938,-87.66586864853457,"(41.79663018928938, -87.66586864853457)"
Vacant/Abandoned Building,16-03484488,05/20/2016,Front,,Open,,Vacant,false,true,1746,W,51ST,ST,60609,1165472.42570062,1870878.90177003,20,9,61,41.80128371080956,-87.6686809948734,"(41.80128371080956, -87.6686809948734)"
Vacant/Abandoned Building,16-03503204,05/20/2016,Front,,Open,BACK DOOR,Vacant,false,true,9345,S,UNION,AVE,60620,1173282.77316668,1842891.90712353,21,22,73,41.724314711225574,-87.64086395258423,"(41.724314711225574, -87.64086395258423)"
Vacant/Abandoned Building,16-03486270,05/20/2016,Front,,Open,BACK WINDOW,Vacant,false,true,9334,S,ST LAWRENCE,AVE,60619,1181875.88000048,1843080.55998338,9,6,44,41.72463840135385,-87.60938203453507,"(41.72463840135385, -87.60938203453507)"
Vacant/Abandoned Building,16-03486964,05/20/2016,Front,,Open,,Vacant,false,false,9900,S,CARPENTER,ST,60643,1171064.55962632,1839110.36107804,34,22,73,41.713986271520724,-87.64909929218585,"(41.713986271520724, -87.64909929218585)"
Vacant/Abandoned Building,16-03500937,05/20/2016,Rear,,Open,,Vacant,false,true,12230,S,THROOP,ST,60643,1169879.53251755,1823664.35433093,34,5,53,41.671625685186136,-87.65388553853757,"(41.671625685186136, -87.65388553853757)"
Vacant/Abandoned Building,16-03524037,05/21/2016,Front,,Open,FRONT,Vacant,false,false,2009,W,70TH,ST,60636,1164173.12811171,1858237.33622161,17,7,67,41.766621087200704,-87.67380160952787,"(41.766621087200704, -87.67380160952787)"
Vacant/Abandoned Building,16-03523257,05/21/2016,Front,,Open,BACK GATE IS BROKEN,Vacant,false,true,4244,W,WEST END,AVE,60624,1148068.46707507,1900635.47787182,28,11,26,41.883291264197126,-87.73174388462243,"(41.883291264197126, -87.73174388462243)"
Vacant/Abandoned Building,16-03511777,05/21/2016,Rear,,Open,REAR,Vacant,false,true,2110,S,HARDING,AVE,60623,1150379.37671495,1889697.96989557,24,10,29,41.85323270985538,-87.72354330998017,"(41.85323270985538, -87.72354330998017)"
Vacant/Abandoned Building,16-03520920,05/21/2016,Front,,Open,2ND FLOOR WINDOWS/DOORS,Vacant,false,false,8432,S,GREEN,ST,60620,1172107.110005,1848933.85457548,21,6,71,41.740920520683254,-87.64499337471905,"(41.740920520683254, -87.64499337471905)"
Vacant/Abandoned Building,16-03508057,05/21/2016,Front,,Open,BACK DOOR,Vacant,false,true,9427,S,PEORIA,ST,60620,1171974.68292529,1842248.18352465,21,22,73,41.72257701682159,-87.6456742818759,"(41.72257701682159, -87.6456742818759)"
Vacant/Abandoned Building,16-03512717,05/21/2016,Rear,,Open,,Vacant,false,false,5175,W,BLOOMINGDALE,AVE,60639,1141644.34407629,1911478.11016849,37,25,25,41.91316587095744,-87.75506560077417,"(41.91316587095744, -87.75506560077417)"
Vacant/Abandoned Building,16-03543573,05/22/2016,Front,,Open,REAR DOORS,Vacant,false,true,2119,W,CORTLAND,ST,60647,1161926.84727248,1912721.40898435,32,14,22,41.91617814455362,-87.6805172030033,"(41.91617814455362, -87.6805172030033)"
Vacant/Abandoned Building,16-03541736,05/22/2016,Garage,,Open,,Vacant,true,false,7557,S,INDIANA,AVE,60619,1178904.81211164,1854947.73209093,6,6,69,41.75727138960039,-87.61990458241037,"(41.75727138960039, -87.61990458241037)"
Vacant/Abandoned Building,16-03538430,05/22/2016,Front,,Boarded,,Vacant,false,false,2915,N,ROCKWELL,ST,60618,1158532.45970561,1919340.49762656,33,14,21,41.93441162589097,-87.6928063684303,"(41.93441162589097, -87.6928063684303)"
Vacant/Abandoned Building,16-03535439,05/22/2016,Front,,Open,BACK DOOR,Vacant,false,true,2046,E,83RD,ST,60617,1191371.02011028,1850346.8458126,8,4,46,41.74435338627972,-87.57436720639379,"(41.74435338627972, -87.57436720639379)"
Vacant/Abandoned Building,16-03540736,05/22/2016,Front,,Open,,Vacant,false,false,8555,S,EUCLID,AVE,60617,1190673.24788673,1848633.09489509,8,4,45,41.73966755528297,-87.576979071263,"(41.73966755528297, -87.576979071263)"
Vacant/Abandoned Building,16-03536034,05/22/2016,Front,,Open,,Vacant,false,false,7729,S,MICHIGAN,AVE,60619,1178492.50073388,1853794.406805,6,6,69,41.75411590740657,-87.62145060611243,"(41.75411590740657, -87.62145060611243)"
Vacant/Abandoned Building,16-03543276,05/22/2016,Front,,Open,,Vacant,false,false,2318,S,WHIPPLE,ST,60623,1156389.3400027,1888443.45991728,12,10,30,41.8496709578793,-87.70151845039128,"(41.8496709578793, -87.70151845039128)"
Vacant/Abandoned Building,16-03539107,05/22/2016,Front,,Open,,Vacant,false,false,5824,S,NORMANDY,AVE,60638,1132725.30906751,1865181.28099396,13,8,56,41.78628048924244,-87.78891101810052,"(41.78628048924244, -87.78891101810052)"
Vacant/Abandoned Building,16-03542068,05/22/2016,Front,,Open,FRONT DOOR,Vacant,false,true,10500,S,SACRAMENTO,AVE,60655,1158131.62079934,1834854.60002957,19,22,74,41.70257997616977,-87.69658029180144,"(41.70257997616977, -87.69658029180144)"
